"title","url","price","image","description","vendor"
"Blank Canvas Dress","https://www.adoredvintage.com/products.json","58.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Cream-linen-slip-on-oversize-short-sleeve-day-dress-C2547D_1.jpg?v=1715300621","Effortless and easy to wear, this loose cut oversized linen dress is perfect for those days when you want to be comfortable but put together and stylish. This boxy dress features a v-neckline and hidden side pockets. Wear with your favorite sandals and summer straw hat.80% Rayon, 20% LinenHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 39\" length / best 34\"-36\" bust / open waist/hipsM: 40\" length / best 36\"-38\" bust / open waist/hipsL: 41\" length / best 38\"-40\" bust / open waist/hips","Modern"
"Along the Hudson Shorts - Tan","https://www.adoredvintage.com/products.json","58.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Classic-feminine-vintage-inspired-khaki-mustard-high-waist-shorts-C2118R.jpg?v=1692195327","Easy linen blend high waist short with a vintage inspired silhouette. She comes in a lovely tani goldenrod colour and boasts smart front pleats, generous functional pockets, and an elastic waistband for comfort and ease. She's sure to become an effortless Summer staple with her timelessly feminine feel.30% Linen, 70% ViscoseHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 16.5\" length / 26\"-28\" waist / 3.5\" inseamM: 17\" length / 28\"-30\" waist / 4\" inseamL:  17.5\" length / 30\"-32\" waist / 4.5\" inseam","Modern"
"Clay Studio Tee","https://www.adoredvintage.com/products.json","48.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Classic-putty-tan-bamboo-modal-round-neck-tee-C2533T_1.jpg?v=1713915372","Effortless and easy to wear, this classic round neck short sleeve tee features single front pocket and is made in a super soft bamboo modal blend that feels cool and light on your skin.50% Bamboo, 42% Modal, 8% SpandexHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 18.5\" length / 19\" across chest / 16.5\" shouldersM: 19\" length / 20\" across chest / 17\" shouldersL: 19.5\" length / 21\" across chest / 17.5\" shoulders","Modern"
"Along the Hudson Shorts - Navy","https://www.adoredvintage.com/products.json","58.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Classic-feminine-vintage-inspired-navy-high-waist-shorts-C2117R.jpg?v=1692454483","<!--\ntd {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}\n-->Graced with a timelessly stylish vintage-inspired design, these midnight blue linen blend high-waisted shorts bring a touch of luxe to your summertime wardrobe. Glamorous pleated fronts, smart cuffed legs, generous functional pockets, and an elasticated waistband for comfort elevate this everyday essential.30% Linen, 70% ViscoseHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 16.5\" length / 26\"-28\" waist / 3.5\" inseamM: 17\" length / 28\"-30\" waist / 4\" inseamL: 17.5\" length / 30\"-32\" waist / 4.5\" inseam","Modern"
"Lyrics Rehearsed Top","https://www.adoredvintage.com/products.json","48.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Romantic-feminine-off-white-peasant-lace-up-back-peasant-top-C2552T_1.jpg?v=1715300725","Romantic and feminine vintage inspired vanilla cream lace up back peasant top featuring squared neckline, flutter sleeves, and smocked elasticated bodice.75% Rayon 25% Poly, Lining: 65% Cotton, 35% RayonHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 15.5\" length / best 32\"-34\" bust max 36\"M: 16\" length / best 34\"-36\" bust max 38\"L: 16.5\" length / best 36\"-38\" bust max 40\"","Modern"
"Clouds in May Dress","https://www.adoredvintage.com/products.json","85.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Effortless-romantic-blue-solid-elastic-waist-puff-sleeve-maxi-dress-C2556D_1.jpg?v=1715300813","Romantic and feminine vintage inspired ankle length dress in a soft slate blue color. This pretty dress features elasticated squared neckline, short puffed sleeves, and elasticated waist panel. The hemline is swingy and floaty and slightly longer on the sides, perfect for twirling or running across wildflower fields. Slips on for wear. Features hidden side pockets.80% Rayon, 20% Nylon / Fully linedHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownIf larger than a C cup and on latter end of bust measurement given, we recommend sizing upS: 52\" length / 34\"-36\" bust / 15.5\" bodice / 25\"-27\" waistM: 53\" length / 36\"-38\" bust / 16\" bodice / 27\"-29\" waistL: 54\" length / 38\"-40\" bust / 16.5\" bodice / 29\"-31\" waist","Modern"
"Garden at Eltham Dress","https://www.adoredvintage.com/products.json","85.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Feminine-brown-cream-floral-print-elasticated-backless-maxi-dress-C2546D_1.jpg?v=1715300610","Romantic and feminine vintage inspired midi length sundress in a beautiful English country inspired heavy floral print of warm coco brown with soft pastels. This vintage inspired dress features a smocked gathered bodice, spaghetti straps, and open back design. Long flared skirt is ideal for making sweeping entrances.97% Cotton, 3%Polyester / Lining: 100% RayonHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 46\" length (not inc straps) / 34\"-36\" bust / 15\"-19\" across waist (unlaced)M: 47\" length (not inc straps) / 36\"-38\" bust / 16\"-20\" across waist (unlaced)L: 48\" length (not inc straps) / 38\"-40\" bust / 17\"-21\" across waist (unlaced)","Modern"
"Pour Over Lounge Set","https://www.adoredvintage.com/products.json","58.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Off-white-linen-blend-cami-shorts-lounge-set-C2550L_1.jpg?v=1715300692","Egg cream colored linen blend cami shorts lounge set perfect for warm summer days lounging at home or wear it out and about by the lake. Wear together or wear separately.80% Rayon, 20% LinenHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownLength of top does not include adjustable strapsS: 15\" length / 17\" across chest | 13.5\" length / 13\"-15\" across waistM: 16\" length / 18\" across chest | 14\" length / 14\"-16\" across waistL: 17\" length / 19\" across chest | 14.5\" length / 15\"-17\" across waist","Modern"
"Lilith Pointelle Top - Sky","https://www.adoredvintage.com/products.json","38.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Feminine-vintage-inspired-blue-solid-rosette-pointelle-knit-tank-top-C2503T_1.jpg?v=1711666004","This dusky blue pointelle knit top will become a sweet little staple in your feminine vintage inspired wardrobe. This stretch knit top features a scoop neckline with a pretty little rosette detail at center.70% Viscose, 30% PolyesterHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownWe recommend sizing up to ensure pointelle knit isn't too see through (in photos you can see the size Small is a bit too stretched on our dress form)S: 21\" length / fits 32\"-34\" bustM: 22\" length / fits 34\"-36\" bustL: 23\" length / fits 36\"-38\" bust","Modern"
"Mauve Pigments Dress","https://www.adoredvintage.com/products.json","65.00","https://cdn.shopify.com/s/files/1/1442/9764/files/Vintage-inspired-taupe-tiered-midi-sundress-C2551D_1.jpg?v=1715300707","Feminine vintage inspired dusty rose pink tiered midi sundress featuring strapless silhouette, ruffled bodice, and tiered skirt. Perfect for summer BBQs and farmer's market runs. This vintage inspired dress is elasticated along the top bodice and waist and easily slips on for wear.100% RayonHand Wash Cold / Line DryImported\nFit Notes & MeasurementsSize 4 dress (34C/26W) is wearing a size small as shownS: 40\" length / best 32\"-34\" bust (max 36\") / 24\"-30\" waistM: 41\" length / best 34\"-36\" bust (max 38\") / 26\"-32\" waistL: 42\" length / best 36\"-38\" bust (max 38\") / 28\"-34\" waist","Modern"
